arr_time AP c_id deadline profit
18 58 25 1029 10
18 26 12 2780 8
18 66 12 462 8
18 67 12 1080 8
18 97 12 3273 8
18 1 45 847 12
19 75 25 534 10
19 89 45 3686 12
20 34 45 714 12
20 42 25 2682 10
20 70 12 20 8
21 43 45 2391 12
21 14 25 604 10
21 19 45 3958 12
21 69 12 746 8
21 7 25 2691 10
22 86 12 3391 8
22 0 45 3894 12
22 45 45 3894 12
23 22 25 1250 10
23 47 12 1300 8
23 72 25 725 10
23 34 12 2265 8
23 82 25 1452 10
23 40 12 1073 8
23 47 25 2089 10
23 88 25 591 10
23 76 25 591 10
24 41 12 2542 8
24 41 25 197 10
24 76 12 727 8
24 97 45 857 12
24 88 12 1052 8
24 30 45 857 12
25 25 12 1590 8
25 12 12 2265 8
26 21 12 181 8
26 13 25 3726 10
26 76 12 181 8
27 87 25 2751 10
27 75 25 2751 10
27 43 25 2751 10
27 58 12 2816 8
28 10 45 1927 12
28 99 25 46 10
28 78 12 181 8
28 42 25 46 10
28 14 12 208 8
28 60 12 1147 8
28 90 25 2691 10
28 29 12 3622 8
28 79 25 592 10
28 68 25 592 10
28 97 25 1008 10
28 76 25 1441 10
28 61 12 1446 8
28 59 45 1927 12
28 11 12 3703 8
29 44 12 586 8
29 84 45 2272 12
30 19 45 3894 12
30 64 45 114 12
30 33 12 2619 8
30 75 45 3928 12
30 43 25 3435 10
31 9 25 335 10
31 30 45 2889 12
31 14 12 2461 8
31 77 45 1458 12
31 48 45 142 12
31 41 45 1582 12
31 7 45 23 12
31 34 12 2942 8
31 9 12 1080 8
32 83 45 1732 12
32 70 12 2265 8
32 32 45 2272 12
32 36 25 3615 10
32 35 25 1994 10
32 9 12 57 8
32 27 12 727 8
32 68 45 210 12
32 7 25 2425 10
33 27 25 1246 10
33 41 25 3915 10
33 24 25 335 10
33 89 25 335 10
33 66 12 3156 8
33 92 45 68 12
34 79 45 2889 12
34 24 12 3043 8
34 81 45 2333 12
34 37 12 2816 8
34 39 45 955 12
35 59 45 540 12
35 40 25 1121 10
35 16 25 1622 10
35 87 25 3029 10
35 17 12 2421 8
35 52 25 3386 10
36 48 25 1088 10
36 56 45 3503 12
37 33 25 3029 10
37 24 45 2024 12
37 95 25 1755 10
38 80 25 490 10
38 56 25 490 10
38 5 25 3029 10
38 59 45 2772 12
38 79 45 429 12
38 45 45 429 12
38 0 45 429 12
38 90 12 1080 8
38 32 25 3029 10
38 3 45 2772 12
39 78 12 3622 8
39 59 25 3150 10
40 61 25 3369 10
40 77 25 1452 10
40 97 12 1573 8
41 7 12 2780 8
41 94 12 1954 8
41 7 12 2485 8
41 40 25 1065 10
41 37 25 205 10
42 34 25 21 10
42 71 25 2051 10
42 98 25 1760 10
42 76 45 2070 12
43 54 25 1630 10
43 43 12 139 8
43 42 25 1768 10
43 2 25 1942 10
43 33 45 2911 12
43 78 25 1630 10
43 80 12 1786 8
43 68 25 1779 10
43 73 12 1524 8
44 29 25 1610 10
44 91 25 2693 10
44 57 45 2980 12
44 61 25 1345 10
44 83 45 808 12
44 73 45 2418 12
44 28 25 335 10
45 64 25 349 10
45 88 45 480 12
45 67 25 1072 10
45 84 12 1161 8
46 12 45 689 12
46 23 45 689 12
46 89 12 3273 8
46 62 25 1610 10
47 53 25 3501 10
47 45 25 1521 10
47 20 25 1566 10
47 33 25 1521 10
47 76 25 3501 10
48 25 12 726 8
48 8 25 2751 10
48 83 45 1725 12
48 73 25 1452 10
49 30 25 953 10
49 41 45 480 12
50 56 25 374 10
50 93 25 1074 10
50 98 25 953 10
50 42 12 2735 8
51 58 25 1847 10
51 22 12 2485 8
52 72 25 1153 10
52 78 25 1153 10
52 11 12 97 8
52 46 45 142 12
52 83 45 142 12
52 10 25 2876 10
52 48 12 2485 8
53 51 25 2 10
53 64 25 2468 10
53 64 45 1105 12
53 75 25 1784 10
53 93 25 1784 10
53 50 25 889 10
53 55 25 889 10
54 88 12 97 8
54 53 45 68 12
54 99 45 2804 12
55 28 12 1788 8
55 95 12 3185 8
56 85 45 480 12
56 43 25 10 10
56 16 25 10 10
56 84 25 10 10
56 24 25 10 10
56 90 45 1813 12
56 31 45 1813 12
56 57 12 838 8
56 9 12 2707 8
56 19 45 480 12
57 1 25 3435 10
57 17 25 1456 10
57 7 45 1547 12
57 31 25 1456 10
57 64 12 550 8
58 56 25 802 10
58 37 25 1550 10
59 64 12 679 8
59 2 12 679 8
59 95 12 2950 8
59 40 12 1928 8
59 33 25 2025 10
59 60 45 2980 12
59 6 45 1164 12
59 62 12 1375 8
59 16 12 1538 8
59 94 45 2980 12
59 74 12 1928 8
59 60 12 7 8
59 13 12 1063 8
60 31 25 36 10
60 82 25 60 10
60 4 12 3761 8
60 14 45 1275 12
60 99 25 724 10
61 33 25 2301 10
61 83 25 28 10
61 25 25 2073 10
61 77 45 802 12
61 50 25 1375 10
61 94 25 1375 10
62 30 12 2726 8
62 15 25 3394 10
62 60 25 3394 10
62 3 25 2963 10
62 77 12 248 8
62 97 25 108 10
62 13 12 2726 8
62 91 12 1341 8
63 54 12 742 8
63 72 12 2297 8
63 24 12 1871 8
64 10 25 2613 10
64 18 25 3037 10
64 75 25 2467 10
64 52 12 2915 8
64 81 25 124 10
64 77 45 1623 12
64 34 12 596 8
65 83 25 1679 10
65 47 25 147 10
65 63 12 916 8
65 81 45 2522 12
65 85 12 3526 8
65 87 25 475 10
65 19 12 1572 8
65 29 12 1572 8
65 30 25 2911 10
65 44 25 475 10
65 60 25 147 10
66 44 12 1572 8
66 64 12 3273 8
66 58 45 2333 12
66 77 25 124 10
66 34 45 3955 12
66 79 12 833 8
66 88 12 1058 8
66 94 25 1535 10
67 31 45 1238 12
67 43 45 1238 12
67 67 45 2804 12
67 58 25 400 10
67 46 12 144 8
67 29 25 205 10
67 67 45 3596 12
67 76 45 3596 12
68 89 25 1065 10
68 92 12 3412 8
68 54 25 400 10
68 68 25 400 10
68 43 25 1750 10
68 36 25 147 10
68 61 25 3111 10
68 62 25 3513 10
69 85 25 2021 10
69 38 25 2021 10
69 43 12 177 8
69 96 25 1613 10
69 45 45 3235 12
69 49 25 113 10
69 66 45 2841 12
69 55 45 690 12
69 30 45 2476 12
69 13 45 1925 12
69 90 12 1954 8
69 64 45 2804 12
70 27 25 3708 10
70 7 25 3576 10
70 43 25 3576 10
70 89 25 3576 10
70 54 25 1144 10
70 94 12 571 8
70 4 12 571 8
70 54 12 1591 8
70 31 12 1591 8
70 49 12 506 8
70 17 25 481 10
71 59 25 1750 10
71 16 25 2922 10
71 28 45 186 12
71 66 25 1290 10
72 48 12 770 8
72 54 12 2370 8
72 26 12 2370 8
72 53 25 1290 10
73 46 25 1105 10
74 36 25 970 10
74 82 45 1308 12
74 24 25 406 10
75 30 45 2722 12
75 62 25 1994 10
75 25 25 1489 10
75 4 45 1235 12
75 55 12 570 8
75 89 12 1524 8
75 14 25 1489 10
75 77 25 1998 10
75 6 25 1998 10
76 61 12 3595 8
76 63 45 596 12
76 81 25 953 10
76 47 12 1686 8
76 34 25 2011 10
76 48 45 3771 12
77 83 25 3708 10
77 47 45 1810 12
77 49 25 3508 10
77 59 45 3000 12
77 5 45 1175 12
77 55 25 3017 10
77 65 12 146 8
77 35 45 2349 12
77 52 45 1175 12
78 76 12 2270 8
79 91 25 113 10
79 29 45 573 12
79 51 45 1413 12
79 50 25 79 10
79 80 12 415 8
79 20 25 883 10
79 83 12 269 8
80 27 12 2509 8
80 41 45 2841 12
80 39 45 3380 12
80 40 12 2468 8
81 23 25 2299 10
81 49 25 3148 10
82 26 12 1954 8
82 87 25 138 10
82 79 45 1284 12
83 99 12 3868 8
83 92 25 846 10
83 68 12 503 8
83 2 12 503 8
83 1 25 1637 10
83 69 12 503 8
83 75 25 3708 10
0 32 45 877 12
0 90 25 223 10
0 82 12 668 8
0 56 25 3584 10
1 90 12 2853 8
2 12 25 635 10
3 81 25 1588 10
3 49 12 797 8
3 59 12 797 8
3 50 12 531 8
3 86 25 1905 10
3 96 25 2114 10
3 51 45 1556 12
3 31 25 2114 10
3 16 25 3673 10
3 26 25 186 10
3 68 25 186 10
3 22 25 1947 10
3 38 25 1947 10
3 22 25 2114 10
4 58 12 494 8
4 34 12 920 8
4 71 25 518 10
4 55 12 3078 8
4 74 12 3078 8
4 57 12 494 8
4 76 45 123 12
4 37 25 515 10
4 14 45 1635 12
4 55 45 1635 12
4 36 45 1635 12
4 49 25 515 10
5 27 12 3660 8
5 94 25 3658 10
5 48 25 1043 10
5 6 12 462 8
5 49 25 349 10
5 31 25 1597 10
5 43 25 1597 10
5 96 25 349 10
6 59 25 111 10
6 65 25 1745 10
6 12 25 1998 10
6 63 25 3501 10
6 78 25 3501 10
6 26 25 308 10
6 15 45 478 12
6 86 12 943 8
6 31 12 943 8
6 0 12 943 8
6 8 12 3541 8
6 49 25 797 10
7 40 25 1026 10
7 82 25 3050 10
7 93 25 221 10
7 6 25 1026 10
7 87 12 700 8
7 7 25 3555 10
7 56 45 1892 12
7 74 45 1892 12
7 55 25 283 10
7 62 25 283 10
7 40 25 308 10
7 12 12 700 8
7 39 25 1169 10
7 53 12 58 8
7 69 12 58 8
8 65 25 284 10
8 58 45 426 12
8 81 45 2899 12
8 9 45 2228 12
8 15 25 2025 10
8 51 12 954 8
8 17 12 1423 8
8 0 25 1147 10
8 57 25 413 10
8 20 12 1256 8
8 83 45 2409 12
8 17 25 3889 10
8 97 25 3111 10
9 29 25 1310 10
9 27 12 3156 8
9 68 25 3462 10
9 43 25 216 10
9 69 12 1034 8
9 27 12 1787 8
9 99 25 874 10
9 20 45 1237 12
9 20 12 735 8
9 41 25 2778 10
9 42 12 954 8
9 81 12 1787 8
9 73 25 470 10
10 36 12 1851 8
10 81 25 46 10
10 74 25 1043 10
10 20 25 1319 10
10 27 25 1319 10
10 75 12 1724 8
10 53 25 2541 10
11 16 25 46 10
11 57 25 1461 10
11 40 12 1524 8
11 88 12 35 8
11 94 25 2682 10
12 93 45 3977 12
12 33 45 1408 12
12 56 25 181 10
12 42 25 181 10
12 43 12 1803 8
12 92 45 3977 12
13 50 25 1504 10
13 87 12 1787 8
13 35 25 1005 10
13 5 25 2400 10
13 69 45 2888 12
13 56 45 61 12
13 96 45 1494 12
13 70 25 1504 10
14 35 12 938 8
14 45 12 938 8
14 79 12 938 8
14 66 12 2826 8
14 65 12 283 8
14 35 25 2637 10
14 21 45 2012 12
14 71 25 1117 10
14 84 12 3218 8
15 42 12 471 8
15 3 25 341 10
16 7 12 746 8
16 34 45 1408 12
16 34 45 653 12
16 41 45 653 12
16 12 45 2773 12
17 72 25 1233 10
17 24 25 575 10
17 11 45 2654 12
17 96 25 2089 10
17 31 25 3615 10
17 64 45 1983 12
17 34 25 2499 10
17 49 45 1957 12
17 25 25 1754 10
17 4 45 1763 12
17 31 25 1754 10
18 1 12 1908 8
18 5 25 874 10
18 94 25 3615 10
18 43 25 591 10
18 91 25 874 10
18 58 25 1029 10
18 26 12 2780 8
18 66 12 462 8
18 67 12 1080 8
18 97 12 3273 8
18 1 45 847 12
19 75 25 534 10
19 89 45 3686 12
20 34 45 714 12
20 42 25 2682 10
20 70 12 20 8
21 43 45 2391 12
21 14 25 604 10
21 19 45 3958 12
21 69 12 746 8
21 7 25 2691 10
22 86 12 3391 8
22 0 45 3894 12
22 45 45 3894 12
23 22 25 1250 10
23 47 12 1300 8
23 72 25 725 10
23 34 12 2265 8
23 82 25 1452 10
23 40 12 1073 8
23 47 25 2089 10
23 88 25 591 10
23 76 25 591 10
24 41 12 2542 8
24 41 25 197 10
24 76 12 727 8
24 97 45 857 12
24 88 12 1052 8
24 30 45 857 12
25 25 12 1590 8
25 12 12 2265 8
26 21 12 181 8
26 13 25 3726 10
26 76 12 181 8
27 87 25 2751 10
27 75 25 2751 10
27 43 25 2751 10
27 58 12 2816 8
28 10 45 1927 12
28 99 25 46 10
28 78 12 181 8
28 42 25 46 10
28 14 12 208 8
28 60 12 1147 8
28 90 25 2691 10
28 29 12 3622 8
28 79 25 592 10
28 68 25 592 10
28 97 25 1008 10
28 76 25 1441 10
28 61 12 1446 8
28 59 45 1927 12
28 11 12 3703 8
29 44 12 586 8
29 84 45 2272 12
30 19 45 3894 12
30 64 45 114 12
30 33 12 2619 8
30 75 45 3928 12
30 43 25 3435 10
31 9 25 335 10
31 30 45 2889 12
31 14 12 2461 8
31 77 45 1458 12
31 48 45 142 12
31 41 45 1582 12
31 7 45 23 12
31 34 12 2942 8
31 9 12 1080 8
32 83 45 1732 12
32 70 12 2265 8
32 32 45 2272 12
32 36 25 3615 10
32 35 25 1994 10
32 9 12 57 8
32 27 12 727 8
32 68 45 210 12
32 7 25 2425 10
33 27 25 1246 10
33 41 25 3915 10
33 24 25 335 10
33 89 25 335 10
33 66 12 3156 8
33 92 45 68 12
34 79 45 2889 12
34 24 12 3043 8
34 81 45 2333 12
34 37 12 2816 8
34 39 45 955 12
35 59 45 540 12
35 40 25 1121 10
35 16 25 1622 10
35 87 25 3029 10
35 17 12 2421 8
35 52 25 3386 10
36 48 25 1088 10
36 56 45 3503 12
37 33 25 3029 10
37 24 45 2024 12
37 95 25 1755 10
38 80 25 490 10
38 56 25 490 10
38 5 25 3029 10
38 59 45 2772 12
38 79 45 429 12
38 45 45 429 12
38 0 45 429 12
38 90 12 1080 8
38 32 25 3029 10
38 3 45 2772 12
39 78 12 3622 8
39 59 25 3150 10
40 61 25 3369 10
40 77 25 1452 10
40 97 12 1573 8
41 7 12 2780 8
41 94 12 1954 8
41 7 12 2485 8
41 40 25 1065 10
41 37 25 205 10
42 34 25 21 10
42 71 25 2051 10
42 98 25 1760 10
42 76 45 2070 12
43 54 25 1630 10
43 43 12 139 8
43 42 25 1768 10
43 2 25 1942 10
43 33 45 2911 12
43 78 25 1630 10
43 80 12 1786 8
43 68 25 1779 10
43 73 12 1524 8
44 29 25 1610 10
44 91 25 2693 10
44 57 45 2980 12
44 61 25 1345 10
44 83 45 808 12
44 73 45 2418 12
44 28 25 335 10
45 64 25 349 10
45 88 45 480 12
45 67 25 1072 10
45 84 12 1161 8
46 12 45 689 12
46 23 45 689 12
46 89 12 3273 8
46 62 25 1610 10
47 53 25 3501 10
47 45 25 1521 10
47 20 25 1566 10
47 33 25 1521 10
47 76 25 3501 10
48 25 12 726 8
48 8 25 2751 10
48 83 45 1725 12
48 73 25 1452 10
49 30 25 953 10
49 41 45 480 12
50 56 25 374 10
50 93 25 1074 10
50 98 25 953 10
50 42 12 2735 8
51 58 25 1847 10
51 22 12 2485 8
52 72 25 1153 10
52 78 25 1153 10
52 11 12 97 8
52 46 45 142 12
52 83 45 142 12
52 10 25 2876 10
52 48 12 2485 8
53 51 25 2 10
53 64 25 2468 10
53 64 45 1105 12
53 75 25 1784 10
53 93 25 1784 10
53 50 25 889 10
53 55 25 889 10
54 88 12 97 8
54 53 45 68 12
54 99 45 2804 12
55 28 12 1788 8
55 95 12 3185 8
56 85 45 480 12
56 43 25 10 10
56 16 25 10 10
56 84 25 10 10
56 24 25 10 10
56 90 45 1813 12
56 31 45 1813 12
56 57 12 838 8
56 9 12 2707 8
56 19 45 480 12
57 1 25 3435 10
57 17 25 1456 10
57 7 45 1547 12
57 31 25 1456 10
57 64 12 550 8
58 56 25 802 10
58 37 25 1550 10
59 64 12 679 8
59 2 12 679 8
59 95 12 2950 8
59 40 12 1928 8
59 33 25 2025 10
59 60 45 2980 12
59 6 45 1164 12
59 62 12 1375 8
59 16 12 1538 8
59 94 45 2980 12
59 74 12 1928 8
59 60 12 7 8
59 13 12 1063 8
60 31 25 36 10
60 82 25 60 10
60 4 12 3761 8
60 14 45 1275 12
60 99 25 724 10
61 33 25 2301 10
61 83 25 28 10
61 25 25 2073 10
61 77 45 802 12
61 50 25 1375 10
61 94 25 1375 10
62 30 12 2726 8
62 15 25 3394 10
62 60 25 3394 10
62 3 25 2963 10
62 77 12 248 8
62 97 25 108 10
62 13 12 2726 8
62 91 12 1341 8
63 54 12 742 8
63 72 12 2297 8
63 24 12 1871 8
64 10 25 2613 10
64 18 25 3037 10
64 75 25 2467 10
64 52 12 2915 8
64 81 25 124 10
64 77 45 1623 12
64 34 12 596 8
65 83 25 1679 10
65 47 25 147 10
65 63 12 916 8
65 81 45 2522 12
65 85 12 3526 8
65 87 25 475 10
65 19 12 1572 8
65 29 12 1572 8
65 30 25 2911 10
65 44 25 475 10
65 60 25 147 10
66 44 12 1572 8
66 64 12 3273 8
66 58 45 2333 12
66 77 25 124 10
66 34 45 3955 12
66 79 12 833 8
66 88 12 1058 8
66 94 25 1535 10
67 31 45 1238 12
67 43 45 1238 12
67 67 45 2804 12
67 58 25 400 10
67 46 12 144 8
67 29 25 205 10
67 67 45 3596 12
67 76 45 3596 12
68 89 25 1065 10
68 92 12 3412 8
68 54 25 400 10
68 68 25 400 10
68 43 25 1750 10
68 36 25 147 10
68 61 25 3111 10
68 62 25 3513 10
69 85 25 2021 10
69 38 25 2021 10
69 43 12 177 8
69 96 25 1613 10
69 45 45 3235 12
69 49 25 113 10
69 66 45 2841 12
69 55 45 690 12
69 30 45 2476 12
69 13 45 1925 12
69 90 12 1954 8
69 64 45 2804 12
70 27 25 3708 10
70 7 25 3576 10
70 43 25 3576 10
70 89 25 3576 10
70 54 25 1144 10
70 94 12 571 8
70 4 12 571 8
70 54 12 1591 8
70 31 12 1591 8
70 49 12 506 8
70 17 25 481 10
71 59 25 1750 10
71 16 25 2922 10
71 28 45 186 12
71 66 25 1290 10
72 48 12 770 8
72 54 12 2370 8
72 26 12 2370 8
72 53 25 1290 10
73 46 25 1105 10
74 36 25 970 10
74 82 45 1308 12
74 24 25 406 10
75 30 45 2722 12
75 62 25 1994 10
75 25 25 1489 10
75 4 45 1235 12
75 55 12 570 8
75 89 12 1524 8
75 14 25 1489 10
75 77 25 1998 10
75 6 25 1998 10
76 61 12 3595 8
76 63 45 596 12
76 81 25 953 10
76 47 12 1686 8
76 34 25 2011 10
76 48 45 3771 12
77 83 25 3708 10
77 47 45 1810 12
77 49 25 3508 10
77 59 45 3000 12
77 5 45 1175 12
77 55 25 3017 10
77 65 12 146 8
77 35 45 2349 12
77 52 45 1175 12
78 76 12 2270 8
79 91 25 113 10
79 29 45 573 12
79 51 45 1413 12
79 50 25 79 10
79 80 12 415 8
79 20 25 883 10
79 83 12 269 8
80 27 12 2509 8
80 41 45 2841 12
80 39 45 3380 12
80 40 12 2468 8
81 23 25 2299 10
81 49 25 3148 10
82 26 12 1954 8
82 87 25 138 10
82 79 45 1284 12
83 99 12 3868 8
83 92 25 846 10
83 68 12 503 8
83 2 12 503 8
83 1 25 1637 10
83 69 12 503 8
83 75 25 3708 10
